activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,auto,16,gini,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,39,constant,66,log2,13,23,kneighborsClassifier,7,1,sgd,uniform,0.9945454545454545
logistic,kd_tree,11,gini,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,29,invscaling,71,log2,11,37,kneighborsClassifier,8,2,sgd,uniform,0.9890909090909091
tanh,auto,16,gini,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,29,invscaling,56,log2,11,37,kneighborsClassifier,8,2,sgd,uniform,0.9890909090909091
identity,brute,26,entropy,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,39,adaptive,43,auto,7,5,kneighborsClassifier,7,1,adam,uniform,0.9945454545454545
identity,auto,8,entropy,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,32,constant,36,auto,8,20,kneighborsClassifier,5,3,lbfgs,distance,0.9836363636363636
logistic,brute,12,gini,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,40,invscaling,29,auto,15,30,kneighborsClassifier,7,7,lbfgs,distance,0.9818181818181818
logistic,brute,12,gini,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,39,constant,66,log2,13,23,kneighborsClassifier,7,1,sgd,distance,1.0
logistic,brute,12,gini,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,39,constant,66,log2,13,23,kneighborsClassifier,7,1,sgd,distance,1.0
identity,auto,8,entropy,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,39,constant,66,log2,13,23,kneighborsClassifier,7,1,sgd,distance,0.9981818181818182
relu,brute,13,entropy,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,39,constant,66,log2,13,23,kneighborsClassifier,7,1,sgd,distance,0.9963636363636363
logistic,kd_tree,11,entropy,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,11,invscaling,62,log2,19,33,kneighborsClassifier,2,5,adam,uniform,0.9945454545454545
tanh,auto,16,gini,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,39,constant,66,log2,13,23,kneighborsClassifier,7,1,sgd,distance,0.9945454545454545
logistic,kd_tree,11,entropy,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,39,constant,66,log2,13,23,kneighborsClassifier,7,1,sgd,uniform,0.9945454545454545
identity,auto,8,entropy,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,39,constant,66,log2,13,23,kneighborsClassifier,7,1,sgd,distance,0.9945454545454545
logistic,kd_tree,11,entropy,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,39,constant,66,log2,13,23,kneighborsClassifier,7,1,sgd,distance,0.9945454545454545
tanh,auto,16,gini,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,39,constant,66,log2,13,23,kneighborsClassifier,7,1,sgd,uniform,0.9945454545454545
identity,brute,26,entropy,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,39,adaptive,43,auto,7,5,kneighborsClassifier,7,1,adam,uniform,0.9945454545454545
logistic,brute,12,gini,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,39,constant,66,log2,13,23,kneighborsClassifier,7,1,sgd,distance,0.9981818181818182
identity,auto,8,entropy,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,39,constant,66,sqrt,16,23,kneighborsClassifier,7,1,sgd,distance,0.9981818181818182
relu,brute,13,entropy,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,14,invscaling,62,log2,19,18,kneighborsClassifier,2,5,adam,uniform,0.9818181818181818
